user_id,source,category
4e4f90fcfb,context,Электроника
9f39d307c3,context,Электроника
44edeffc91,context,Продукты
5da0dedf13,context,Досуг
79843a685a,context,Продукты
ff68cee0d6,context,Бытовая техника
fdd6b2fc76,context,Бытовая техника
22d2f03a17,context,Досуг
81a9988b83,context,Электроника
65f44a2eb7,context,Досуг
3ecff691fd,context,Электроника
73b876b237,context,Электроника
ed6b87f95d,context,Досуг
d8e3bcee53,context,Продукты
06d450cc57,context,Электроника
564202f6bd,context,Электроника
74c9201f84,context,Электроника
dbe70d84e4,context,Строительство и ремонт
f660dbcc3f,context,Электроника
7d6c62f0a2,context,Бытовая техника
9ab8f3bbb8,context,Бытовая техника
63df9ee9d3,context,Электроника
af24cffd03,context,Электроника
d39a1d56c3,context,Бытовая техника
fd2c2b59b9,context,Бытовая техника
19d1e4e036,context,Товары для животных
c21b82499e,context,Электроника
eded5c6792,context,Досуг
ab8e0c1a01,context,Досуг
9d25ac3886,context,Досуг
c5e1bf636a,context,Электроника
f46375940f,context,Досуг
0cf6ee6c84,context,Бытовая техника
f9a3ef9ac2,context,Продукты
716a1b4e10,context,Продукты
749e8694c5,context,Товары для животных
e9eaffa80a,context,Бытовая техника
da237781d5,context,Продукты
62f37b821c,context,Досуг
6aff7a1677,context,Бытовая техника
ef33021c36,context,не определена
0d4f4664e0,context,Продукты
a2468d6c33,context,Электроника
a8660dcfae,context,Бытовая техника
a7bfa5d0cc,context,Досуг
6e6293a54b,context,Досуг
69775511be,context,Досуг
2de051e056,context,Электроника
0da9ca70fe,context,Продукты
fcc5bebc42,context,Бытовая техника
69475b45df,context,Бытовая техника
816800e62f,context,Бытовая техника
1405e18ffb,context,Досуг
4cd8bde9ac,context,Продукты
8c5eeb346a,context,Бытовая техника
694fdf8197,context,Электроника
e371c40a07,context,Электроника
74d3a4830b,context,Продукты
c74d0b4602,context,Электроника
47ec449fbe,context,Строительство и ремонт
9b63ed579f,context,Строительство и ремонт
be8c8f1a63,context,Продукты
12764a8382,context,Строительство и ремонт
1909ff3b18,context,Продукты
36d248e31c,context,Продукты
84b1b23768,context,Досуг
640232cec2,context,Бытовая техника
147df43b96,context,Продукты
f84cfd5fdc,context,Бытовая техника
bbec49524b,context,Электроника
8c9c7efbdb,context,Бытовая техника
49e9a83a56,context,Электроника
eb7ff574cc,context,Электроника
ba38172577,context,Досуг
5e5398d531,context,Электроника
3953e7d027,context,Электроника
abbaaeeec6,context,Товары для животных
5f4ccaec06,context,Электроника
ccdb17354a,context,Продукты
bdec18f74e,context,Продукты
48a32ff3cc,context,Электроника
8a0c7e0dfc,context,Товары для животных
72d11d2013,context,Бытовая техника
991072196d,context,Бытовая техника
28ed9a2680,context,Товары для животных
547434b3fc,context,Строительство и ремонт
0680efd24d,context,Электроника
a771274455,context,Строительство и ремонт
c92680024a,context,Досуг
0f359c5def,context,Электроника
b694d9fb7e,context,не определена
2feeed4e90,context,Электроника
773030b2e2,context,Бытовая техника
e2389b2f7d,context,Электроника
c9d93ee37c,context,Электроника
ae7b2f668e,context,Продукты
f88b4269c5,context,Товары для животных
4dd2890bda,context,Электроника
c31aa4037a,context,не определена
a677351888,context,Электроника
da4df206c2,context,Строительство и ремонт
f744545cc3,context,Бытовая техника
3ea58635a3,context,Электроника
932ddf4781,context,Досуг
7675997d49,context,Досуг
89df00704c,context,Строительство и ремонт
9cefeea76d,context,Бытовая техника
e65eedc757,context,Электроника
76802021e9,context,Электроника
a7e81df232,context,Досуг
05cbde31c9,context,Бытовая техника
367da43c26,context,Электроника
151f96dc65,context,Строительство и ремонт
64d25949ee,context,Электроника
8e8f91533b,context,Продукты
301f91129f,context,Бытовая техника
597f7b8898,context,Продукты
c3e109ab54,context,Продукты
93564b2f07,context,Электроника
ed11062209,context,Досуг
190a767c80,context,Электроника
30aa6019ee,context,Строительство и ремонт
06c037d78b,context,Электроника
a3c460b857,context,Продукты
16fc636b92,context,Электроника
b8921f73af,context,Электроника
03da4195d5,context,Электроника
47f4301c42,context,Строительство и ремонт
68d3f7a732,context,Бытовая техника
a60013a070,context,Бытовая техника
efc11b447d,context,Продукты
fc1f885b61,context,Продукты
616be967a6,context,Товары для животных
4cac4d415e,context,Строительство и ремонт
64f7b50d91,context,Продукты
40a0c7e9fd,context,Бытовая техника
3df04d540a,context,Бытовая техника
28e6a3401e,context,Бытовая техника
f7075c9aa0,context,Досуг
62b23ee4ec,context,Электроника
7e647f1627,context,Досуг
5f7338c6d2,context,Электроника
15626f0e4b,context,Электроника
5b7a18599d,context,Продукты
0c2c604426,context,Электроника
bccd9951e1,context,Продукты
6c13c61421,context,Бытовая техника
96ea47dccc,context,Продукты
bb6bc25682,context,Бытовая техника
96f1cdc32a,context,Электроника
a6064a81b0,context,Бытовая техника
9e431b36b4,context,Строительство и ремонт
73e1fe10eb,context,Электроника
463ba5e7a4,context,Бытовая техника
c3507551c1,context,Бытовая техника
d51526e303,context,Строительство и ремонт
ed9a053f22,context,Строительство и ремонт
032bed90db,context,Продукты
804500fb95,context,Бытовая техника
12999dcd9a,context,Товары для животных
3e591c3ffc,context,Бытовая техника
4dfa3cdd1c,context,Бытовая техника
f5d17124c3,context,Досуг
1d174a41a8,context,Электроника
75f5d0d207,context,Досуг
20de5fe407,context,Электроника
c438a203ed,context,Продукты
657e2d9e43,context,Бытовая техника
d01030d1b8,context,Продукты
02e9d12fa3,context,Продукты
779cec4e6f,context,Строительство и ремонт
7cae20cdba,context,не определена
183f8294db,context,Электроника
75fa561c87,context,Бытовая техника
f0786e4328,context,Продукты
ea0d8049e3,context,Бытовая техника
44e0dc31ce,context,Товары для животных
a4efe5d448,context,Товары для животных
dfa1420acf,context,Бытовая техника
a39b67bf03,context,Электроника
74b631217b,context,Продукты
2081cf7480,context,Бытовая техника
14c31e0c1e,context,Досуг
845b7880ee,context,Электроника
2b1728c429,context,Досуг
bfe28de286,context,Бытовая техника
e6ee1d8d89,context,Строительство и ремонт
3baee3d19a,context,Электроника
537009ef49,context,не определена
eb17b6b1b7,context,Досуг
